iter	Passed	Remaining
459	775	909
460	775	907
461	778	906
462	779	903
463	779	900
464	780	898
465	781	895
466	781	892
467	782	889
468	783	886
469	783	883
470	784	880
471	784	877
472	785	875
473	786	872
474	787	869
475	787	866
476	788	864
477	788	861
478	789	858
479	789	855
480	790	852
481	791	850
482	792	847
483	792	845
484	793	842
485	794	839
486	794	837
487	795	834
488	795	831
489	796	828
490	796	826
491	797	823
492	798	820
493	798	818
494	799	815
495	800	812
496	800	810
497	801	808
498	802	805
499	803	803
500	803	800
501	804	797
502	807	797
503	808	795
504	808	792
505	810	790
506	810	788
507	812	786
508	812	784
509	813	781
510	814	779
511	814	776
512	815	774
513	816	771
514	816	769
515	817	766
516	818	764
517	818	761
518	819	759
519	821	758
520	823	757
521	824	754
522	825	752
523	825	750
524	826	747
525	827	745
526	828	743
527	828	741
528	829	738
529	830	736
530	830	733
531	831	731
532	831	728
533	832	726
534	832	723
535	833	721
536	834	719
537	837	719
538	838	717
539	839	715
540	840	713
541	841	710
542	841	708
543	843	706
544	843	704
545	844	702
546	844	699
547	845	697
548	846	694
549	846	692
550	847	690
551	847	687
552	848	685
553	848	683
554	851	683
555	852	680
556	853	678
557	854	676
558	854	674
559	855	672
560	856	669
561	856	667
562	857	665
563	857	663
564	858	660
565	858	658
566	859	656
567	859	654
568	860	651
569	861	649
570	861	647
571	862	645
572	862	642
573	863	640
574	863	638
575	864	636
576	865	634
577	866	632
578	867	630
579	867	628
580	868	626
581	869	624
582	870	622
583	870	620
584	871	617
585	871	615
586	872	613
587	872	611
588	873	609
589	873	607
590	874	605
591	875	603
592	875	601
593	876	598
594	877	596
595	877	594
596	879	594
597	881	592
598	881	590
599	882	588
600	882	586
601	883	584
602	884	582
603	884	579
604	885	577
605	886	576
606	886	574
607	887	572
608	887	570
609	888	568
610	889	566
611	889	564
612	890	562
613	890	560
614	891	558
615	892	556
616	892	554
617	895	553
618	896	551
619	896	549
620	897	547
621	897	545
622	898	543
623	899	541
624	899	539
625	900	537
626	900	535
627	901	534
628	902	532
629	902	530
630	903	528
631	903	526
632	904	524
633	905	522
634	905	520
635	906	518
636	906	516
637	907	514
638	909	513
639	910	512
640	911	510
641	911	508
642	912	506
643	913	504
644	913	502
645	914	500
646	914	499
647	915	497
648	915	495
649	916	493
650	917	491
651	917	489
652	918	488
653	919	486
654	919	484
655	920	482
656	921	480
657	921	479
658	924	478
659	925	476
660	926	475
661	927	473
662	927	471
663	928	469
664	929	468
665	930	466
666	930	464
667	931	463
668	932	461
669	933	459
670	934	457
671	934	456
672	937	455
673	939	454
674	939	452
675	940	450
676	941	449
677	942	447
678	944	446
679	944	444
680	945	442
681	946	441
682	947	439
683	947	437
684	948	436
685	949	434
686	950	432
687	953	432
688	954	430
689	955	429
690	955	427
691	956	425
692	957	424
693	958	422
694	958	420
695	959	419
696	960	417
697	961	415
698	962	414
699	962	412
700	963	410
701	964	409
702	964	407
703	967	406
704	968	405
705	969	403
706	971	402
707	971	400
708	972	399
709	973	397
710	974	395
711	974	394
712	975	392
713	976	391
714	977	389
715	978	387
716	978	386
717	979	384
718	984	384
719	985	383
720	986	381
721	987	380
722	987	378
723	988	376
724	989	375
725	990	373
726	991	372
727	991	370
728	992	368
729	993	367
730	994	365
731	995	364
732	996	362
733	998	361
734	999	360
735	999	358
736	1000	357
737	1001	355
738	1002	353
739	1003	352
740	1004	351
741	1005	349
742	1005	347
743	1006	346
744	1007	344
745	1007	343
746	1008	341
747	1008	339
748	1009	338
749	1010	336
750	1010	335
751	1013	334
752	1014	332
753	1014	331
754	1015	329
755	1016	327
756	1016	326
757	1017	324
758	1018	323
759	1018	321
760	1019	320
761	1020	318
762	1020	317
763	1022	315
764	1023	314
765	1023	312
766	1024	311
767	1024	309
768	1025	308
769	1026	306
770	1028	305
771	1029	303
772	1029	302
773	1030	300
774	1031	299
775	1031	297
776	1032	296
777	1033	294
778	1033	293
779	1034	291
780	1034	290
781	1035	288
782	1035	287
783	1036	285
784	1037	284
785	1037	282
786	1038	280
787	1038	279
788	1039	277
789	1039	276
790	1040	274
791	1040	273
792	1044	272
793	1044	271
794	1045	269
795	1046	268
796	1046	266
797	1047	265
798	1047	263
799	1048	262
800	1049	260
801	1049	259
802	1050	257
803	1050	256
804	1051	254
805	1052	253
806	1052	251
807	1053	250
808	1053	248
809	1054	247
810	1054	245
811	1055	244
812	1055	242
813	1056	241
814	1058	240
815	1059	238
816	1059	237
817	1060	235
818	1061	234
819	1061	233
820	1062	231
821	1062	230
822	1063	228
823	1064	227
824	1064	225
825	1065	224
826	1065	222
827	1066	221
828	1066	220
829	1067	218
830	1067	217
831	1068	215
832	1069	214
833	1069	212
834	1070	211
835	1070	210
836	1073	209
837	1074	207
838	1075	206
839	1075	204
840	1076	203
841	1076	202
842	1077	200
843	1078	199
844	1078	197
845	1079	196
846	1079	195
847	1080	193
848	1081	192
849	1081	190
850	1082	189
851	1083	188
852	1084	186
853	1084	185
854	1085	184
855	1086	182
856	1088	181
857	1089	180
858	1089	178
859	1090	177
860	1091	176
861	1091	174
862	1092	173
863	1092	172
864	1093	170
865	1094	169
866	1094	167
867	1095	166
868	1095	165
869	1096	163
870	1097	162
871	1097	161
872	1098	159
873	1098	158
874	1099	157
875	1099	155
876	1100	154
877	1101	153
878	1103	151
879	1104	150
880	1105	149
881	1105	147
882	1106	146
883	1107	145
884	1107	143
885	1108	142
886	1108	141
887	1109	139
888	1109	138
889	1110	137
890	1111	135
891	1111	134
892	1112	133
893	1112	131
894	1113	130
895	1113	129
896	1114	127
897	1115	126
898	1115	125
899	1118	124
900	1119	122
901	1119	121
902	1120	120
903	1120	119
904	1121	117
905	1121	116
906	1122	115
907	1123	113
908	1123	112
909	1124	111
910	1124	109
911	1125	108
912	1125	107
913	1126	105
914	1127	104
915	1127	103
916	1128	102
917	1128	100
918	1129	99
919	1130	98
920	1130	96
921	1131	95
922	1133	94
923	1134	93
924	1135	92
925	1135	90
926	1136	89
927	1136	88
928	1137	86
929	1138	85
930	1138	84
931	1139	83
932	1139	81
933	1140	80
934	1140	79
935	1141	78
936	1142	76
937	1142	75
938	1143	74
939	1144	73
940	1144	71
941	1145	70
942	1145	69
943	1146	67
944	1148	66
945	1149	65
946	1149	64
947	1150	63
948	1151	61
949	1151	60
950	1152	59
951	1153	58
952	1153	56
953	1154	55
954	1154	54
955	1155	53
956	1155	51
957	1156	50
958	1156	49
959	1157	48
960	1157	46
961	1158	45
962	1159	44
963	1159	43
964	1160	42
965	1161	40
966	1164	39
967	1164	38
968	1165	37
969	1166	36
970	1166	34
971	1167	33
972	1168	32
973	1168	31
974	1169	29
975	1170	28
976	1170	27
977	1171	26
978	1171	25
979	1172	23
980	1172	22
981	1173	21
982	1173	20
983	1174	19
984	1175	17
985	1175	16
986	1176	15
987	1178	14
988	1179	13
989	1179	11
990	1180	10
991	1181	9
992	1181	8
993	1182	7
994	1182	5
995	1183	4
996	1183	3
997	1184	2
998	1185	1
999	1185	0
